Team	Rating	v 1-10	v 11-25	v 26-40	Hi	Lo	Last	Season
Kansas St 	1.7	0-0	0-3	0-0	41	74	51	2010
UConn 	1.6	0-1	1-0	1-0	32	61	49	2010
Penn St 	1.5	0-2	0-2	0-1	24	56	53	2010
Navy 	1.4	0-0	0-0	1-2	44	71	48	2010
S Florida 	1.4	0-0	0-2	2-1	43	58	56	2010
Georgia Tech 	1	0-0	0-2	0-4	14	57	55	2010
Washington 	0.7	0-2	2-1	2-2	39	70	61	2010
Cincinnati 	0.1	0-1	0-1	0-2	16	60	59	2010
Boston College 	-0.5	0-0	0-3	1-3	33	82	62	2010
Baylor 	-0.9	0-2	0-2	0-1	39	78	57	2010
Southern Miss 	-1.1	0-0	0-1	0-0	59	75	63	2010
Houston 	-1.2	0-0	0-0	0-1	23	64	64	2010
Michigan 	-1.5	0-2	0-1	2-1	28	64	58	2010
Syracuse 	-2.3	0-0	1-0	0-1	54	77	66	2010
UCLA 	-2.5	0-2	0-1	1-3	40	86	65	2010
Mississippi 	-2.9	0-3	0-1	0-1	40	84	67	2010
Colorado 	-4	0-1	1-2	1-1	56	88	68	2010
W Michigan 	-4.5	0-0	0-0	0-2	69	106	70	2010
Fresno St 	-4.7	0-1	0-1	1-2	33	75	69	2010
Temple 	-4.7	0-0	0-0	0-1	63	95	72	2010
SMU 	-5.1	0-1	0-0	0-0	59	87	71	2010
Troy 	-5.4	0-0	0-2	0-0	57	88	76	2010
Iowa St 	-5.7	0-1	0-4	1-0	60	85	73	2010
Northwestern 	-5.9	0-1	1-0	0-1	49	75	74	2010
Virginia 	-6	0-0	0-3	1-1	54	77	75	2010
Rutgers 	-7.2	0-0	0-1	0-1	47	78	78	2010
Army 	-7.5	0-0	0-0	0-3	77	106	82	2010
Minnesota 	-7.7	0-2	1-1	1-1	59	93	80	2010
Florida Intl 	-7.9	0-0	0-1	0-2	79	114	86	2010
Louisiana Tech 	-7.9	0-1	0-2	0-1	77	105	79	2010
C Michigan 	-8.1	0-0	0-1	0-1	40	88	83	2010
E Carolina 	-8.4	0-0	0-1	1-1	60	83	77	2010
Toledo 	-8.4	0-1	0-0	0-2	82	117	84	2010
Arkansas St 	-9	0-1	0-0	0-0	79	103	87	2010
Wake Forest 	-9.1	0-1	0-2	0-3	46	94	88	2010
Duke 	-9.3	0-1	0-1	0-2	78	105	89	2010
Ohio 	-9.3	0-1	0-0	0-0	75	97	81	2010
Purdue 	-10.1	0-2	0-0	0-2	68	94	90	2010
Indiana 	-10.6	0-2	0-1	0-1	73	92	91	2010
Washington St 	-10.8	0-2	0-2	1-3	91	119	92	2010
Miami OH 	-10.8	0-0	0-2	1-0	89	108	94	2010
Vanderbilt 	-11.2	0-1	0-4	0-0	61	94	93	2010
UAB 	-11.9	0-0	0-0	0-1	85	100	95	2010
Wyoming 	-12.1	0-2	0-1	0-1	89	106	96	2010
Kent St 	-12.7	0-0	0-0	0-0	89	103	98	2010
UTEP 	-13	0-1	0-0	0-0	93	106	97	2010
Marshall 	-13.1	0-1	0-1	0-0	86	102	99	2010
Utah St 	-13.6	0-2	0-1	0-1	75	101	101	2010
Middle Tenn 	-13.8	0-0	0-0	0-0	65	105	100	2010
Kansas 	-14.9	0-0	0-4	0-0	41	109	102	2010
N Texas 	-15.8	0-0	0-0	0-1	103	113	103	2010
Rice 	-16	0-0	0-0	0-0	99	116	104	2010
UL Monroe 	-17.3	0-2	0-1	0-0	102	114	105	2010
W Kentucky 	-17.8	0-0	0-1	0-0	103	117	107	2010
UNLV 	-17.8	0-2	0-3	0-2	91	114	106	2010
Bowling Green 	-18	0-0	0-0	0-0	82	109	108	2010
Colorado St 	-18.4	0-1	0-2	0-1	100	115	109	2010
Florida Atlantic 	-18.6	0-0	0-0	0-0	86	110	110	2010
Ball St 	-18.9	0-0	0-1	0-1	84	114	111	2010
San Jose St 	-19.4	0-3	0-2	0-1	109	115	112	2010
Louisiana 	-19.8	0-0	0-2	0-0	102	115	113	2010
Tulane 	-20.1	0-0	0-0	0-0	108	120	114	2010
Buffalo 	-22.1	0-0	0-0	0-1	84	115	115	2010
Akron 	-26.1	0-0	0-0	0-1	107	120	116	2010
Memphis 	-26.3	0-0	0-0	0-1	108	120	117	2010
New Mexico 	-27	0-2	0-1	0-1	111	120	119	2010
New Mexico St 	-27.3	0-1	0-1	0-1	115	120	118	2010
E Michigan 	-29	0-1	0-0	0-1	112	120	120	2010
Oregon 	26.8	1-1	1-0	4-0	1	7	1	2011
Boise St 	26.3	0-0	2-1	2-0	1	6	2	2011
TCU 	23.3	1-0	1-0	2-0	2	5	3	2011
Stanford 	22.5	0-1	2-0	5-0	4	45	4	2011
Alabama 	22.1	1-1	1-2	1-0	2	10	6	2011
Ohio St 	20.5	1-1	1-0	2-0	2	6	5	2011
Auburn 	19.5	3-0	4-0	2-0	7	26	7	2011
Oklahoma 	18.2	0-0	3-2	1-0	5	14	8	2011
Wisconsin 	15.7	1-1	1-0	1-0	9	40	9	2011
Arkansas 	15.6	0-3	4-0	1-0	9	24	11	2011
Oklahoma St 	15.2	0-1	1-1	1-0	11	52	13	2011
Virginia Tech 	14.4	0-2	1-0	2-0	8	41	10	2011
LSU 	13.5	1-2	3-0	1-0	8	23	17	2011
Florida St 	12.9	0-1	2-1	3-1	10	48	16	2011
Missouri 	12.6	1-0	1-2	1-0	9	35	14	2011
Nebraska 	12.5	0-1	2-1	0-0	5	16	12	2011
South Carolina 	12.3	1-3	2-1	1-0	10	28	15	2011
Florida 	12.1	0-1	1-3	0-1	2	18	18	2011
Nevada 	10.7	1-0	0-0	1-1	14	54	19	2011
Georgia 	10.6	0-2	0-2	0-1	9	29	20	2011
Utah 	9.9	0-2	0-0	2-1	6	38	23	2011
Texas A&M 	9.8	1-1	1-3	0-0	20	44	21	2011
USC 	9.6	0-2	0-0	4-2	14	29	24	2011
Iowa 	9.5	0-2	1-0	0-1	11	47	25	2011
West Virginia 	9.2	0-0	0-1	2-1	13	37	22	2011
Mississippi St 	9.1	0-3	2-1	0-0	25	51	33	2011
NC State 	8.6	0-0	2-1	0-2	26	80	29	2011
Arizona 	8.3	0-2	1-2	1-2	12	39	26	2011
Miami 	7.9	0-1	0-2	3-1	9	30	27	2011
Oregon St 	7.7	0-4	1-0	3-0	18	34	28	2011
Arizona St 	7.5	0-3	0-1	1-2	30	66	30	2011
Notre Dame 	7.4	0-1	2-0	2-0	30	58	36	2011
Pittsburgh 	7.2	0-0	0-2	0-2	27	56	34	2011
Clemson 	6.4	0-1	0-2	2-1	19	36	32	2011
California 	6.2	0-2	0-2	1-2	12	44	37	2011
N Illinois 	5.8	0-0	0-0	0-1	34	97	39	2011
Air Force 	5.3	0-2	0-1	0-0	17	42	38	2011
Maryland 	5	0-0	0-2	1-2	38	81	41	2011
Illinois 	4.9	0-1	0-1	1-0	37	75	40	2011
Hawai'i 	4.7	0-1	1-1	0-0	31	88	31	2011
Michigan St 	4.7	1-1	0-1	2-0	27	48	35	2011
UCF 	4.3	0-0	1-0	0-1	39	71	43	2011
North Carolina 	3.8	0-0	1-2	1-2	23	43	42	2011
Tennessee 	3.4	0-2	0-4	0-0	21	61	44	2011
BYU 	3	0-1	0-3	0-1	20	75	52	2011
San Diego St 	2.8	0-1	0-2	1-0	46	101	54	2011
Texas 	2.7	0-1	1-2	0-0	3	49	45	2011
Louisville 	2.6	0-0	0-1	0-2	44	77	46	2011
Texas Tech 	2.3	0-1	1-2	0-0	11	55	47	2011
Tulsa 	2.1	0-0	0-1	2-0	50	81	60	2011
Kentucky 	1.9	0-1	1-2	0-2	23	51	50	2011
Kansas St 	1.7	0-0	0-3	0-0	41	74	51	2011
UConn 	1.6	0-1	1-0	1-0	32	61	49	2011
Penn St 	1.5	0-2	0-2	0-1	24	56	53	2011
Navy 	1.4	0-0	0-0	1-2	44	71	48	2011
S Florida 	1.4	0-0	0-2	2-1	43	58	56	2011
Georgia Tech 	1	0-0	0-2	0-4	14	57	55	2011
Washington 	0.7	0-2	2-1	2-2	39	70	61	2011
Cincinnati 	0.1	0-1	0-1	0-2	16	60	59	2011
Boston College 	-0.5	0-0	0-3	1-3	33	82	62	2011
Baylor 	-0.9	0-2	0-2	0-1	39	78	57	2011
Southern Miss 	-1.1	0-0	0-1	0-0	59	75	63	2011
Houston 	-1.2	0-0	0-0	0-1	23	64	64	2011
Michigan 	-1.5	0-2	0-1	2-1	28	64	58	2011
Syracuse 	-2.3	0-0	1-0	0-1	54	77	66	2011
UCLA 	-2.5	0-2	0-1	1-3	40	86	65	2011
Mississippi 	-2.9	0-3	0-1	0-1	40	84	67	2011
Colorado 	-4	0-1	1-2	1-1	56	88	68	2011
W Michigan 	-4.5	0-0	0-0	0-2	69	106	70	2011
Fresno St 	-4.7	0-1	0-1	1-2	33	75	69	2011
Temple 	-4.7	0-0	0-0	0-1	63	95	72	2011
SMU 	-5.1	0-1	0-0	0-0	59	87	71	2011
Troy 	-5.4	0-0	0-2	0-0	57	88	76	2011
Iowa St 	-5.7	0-1	0-4	1-0	60	85	73	2011
Northwestern 	-5.9	0-1	1-0	0-1	49	75	74	2011
Virginia 	-6	0-0	0-3	1-1	54	77	75	2011
Rutgers 	-7.2	0-0	0-1	0-1	47	78	78	2011
Army 	-7.5	0-0	0-0	0-3	77	106	82	2011
Minnesota 	-7.7	0-2	1-1	1-1	59	93	80	2011
Florida Intl 	-7.9	0-0	0-1	0-2	79	114	86	2011
Louisiana Tech 	-7.9	0-1	0-2	0-1	77	105	79	2011
C Michigan 	-8.1	0-0	0-1	0-1	40	88	83	2011
E Carolina 	-8.4	0-0	0-1	1-1	60	83	77	2011
Toledo 	-8.4	0-1	0-0	0-2	82	117	84	2011
Arkansas St 	-9	0-1	0-0	0-0	79	103	87	2011
Wake Forest 	-9.1	0-1	0-2	0-3	46	94	88	2011
Duke 	-9.3	0-1	0-1	0-2	78	105	89	2011
Ohio 	-9.3	0-1	0-0	0-0	75	97	81	2011
Purdue 	-10.1	0-2	0-0	0-2	68	94	90	2011
Indiana 	-10.6	0-2	0-1	0-1	73	92	91	2011
Washington St 	-10.8	0-2	0-2	1-3	91	119	92	2011
Miami OH 	-10.8	0-0	0-2	1-0	89	108	94	2011
Vanderbilt 	-11.2	0-1	0-4	0-0	61	94	93	2011
UAB 	-11.9	0-0	0-0	0-1	85	100	95	2011
Wyoming 	-12.1	0-2	0-1	0-1	89	106	96	2011
Kent St 	-12.7	0-0	0-0	0-0	89	103	98	2011
UTEP 	-13	0-1	0-0	0-0	93	106	97	2011
Marshall 	-13.1	0-1	0-1	0-0	86	102	99	2011
Utah St 	-13.6	0-2	0-1	0-1	75	101	101	2011
Middle Tenn 	-13.8	0-0	0-0	0-0	65	105	100	2011
Kansas 	-14.9	0-0	0-4	0-0	41	109	102	2011
N Texas 	-15.8	0-0	0-0	0-1	103	113	103	2011
Rice 	-16	0-0	0-0	0-0	99	116	104	2011
UL Monroe 	-17.3	0-2	0-1	0-0	102	114	105	2011
W Kentucky 	-17.8	0-0	0-1	0-0	103	117	107	2011
UNLV 	-17.8	0-2	0-3	0-2	91	114	106	2011
Bowling Green 	-18	0-0	0-0	0-0	82	109	108	2011
Colorado St 	-18.4	0-1	0-2	0-1	100	115	109	2011
Florida Atlantic 	-18.6	0-0	0-0	0-0	86	110	110	2011
Ball St 	-18.9	0-0	0-1	0-1	84	114	111	2011
San Jose St 	-19.4	0-3	0-2	0-1	109	115	112	2011
Louisiana 	-19.8	0-0	0-2	0-0	102	115	113	2011
Tulane 	-20.1	0-0	0-0	0-0	108	120	114	2011
Buffalo 	-22.1	0-0	0-0	0-1	84	115	115	2011
Akron 	-26.1	0-0	0-0	0-1	107	120	116	2011
Memphis 	-26.3	0-0	0-0	0-1	108	120	117	2011
New Mexico 	-27	0-2	0-1	0-1	111	120	119	2011
New Mexico St 	-27.3	0-1	0-1	0-1	115	120	118	2011
E Michigan 	-29	0-1	0-0	0-1	112	120	120	2011
Alabama 	28.8	2-1	2-0	2-0	1	2	1	2012
Oregon 	26	1-0	3-1	0-0	2	11	2	2012
Texas A&M 	23	2-1	0-1	2-0	2	25	3	2012
Kansas St 	18.8	2-1	2-1	1-0	4	24	5	2012
Oklahoma 	18.6	1-3	3-0	1-0	1	8	4	2012
Oklahoma St 	18.5	0-2	1-2	1-0	2	15	7	2012
Florida St 	17.6	0-1	1-0	2-0	3	17	8	2012
Georgia 	17.4	1-1	1-1	3-0	6	20	10	2012
Notre Dame 	16.6	1-1	4-0	1-0	5	15	6	2012
Florida 	15.5	2-1	2-0	1-0	4	15	9	2012
LSU 	14.3	1-2	1-1	2-0	2	14	11	2012
Stanford 	13.9	1-1	3-0	2-0	6	26	12	2012
South Carolina 	13.5	1-1	2-1	1-0	5	25	13	2012
Oregon St 	12.5	0-1	3-2	1-0	14	63	15	2012
Clemson 	12.1	0-1	1-1	1-0	12	46	17	2012
Texas 	12	1-2	2-1	2-0	3	16	16	2012
USC 	11.4	0-2	1-1	0-2	4	17	14	2012
Michigan 	11.2	0-2	0-3	2-0	11	39	18	2012
Ohio St 	11.1	0-0	3-0	3-0	8	23	19	2012
Baylor 	10.8	2-1	0-2	2-0	17	47	22	2012
Wisconsin 	10.6	0-0	1-4	1-2	14	54	20	2012
TCU 	10.1	0-3	2-0	0-2	5	23	21	2012
Arizona St 	9.9	0-1	0-2	0-1	17	70	24	2012
BYU 	9.2	0-1	0-1	2-1	21	37	25	2012
Nebraska 	8.8	0-1	2-2	3-1	9	25	23	2012
Vanderbilt 	8.3	0-2	0-1	1-1	26	52	27	2012
Utah St 	8	0-0	0-2	0-0	26	73	31	2012
UCLA 	7.4	0-0	3-4	0-0	22	59	26	2012
Boise St 	6.7	0-0	1-0	0-1	18	33	30	2012
Texas Tech 	6.6	0-3	1-2	0-0	9	47	28	2012
Penn St 	6.2	0-0	1-2	1-0	31	70	34	2012
Cincinnati 	6	0-0	0-0	0-0	28	41	35	2012
UCF 	6	0-0	0-1	0-0	30	53	40	2012
N Illinois 	5.8	0-1	0-0	0-0	30	70	33	2012
North Carolina 	5.5	0-0	0-0	0-1	17	47	38	2012
Mississippi 	5.4	0-3	0-2	1-1	36	73	43	2012
Michigan St 	5.3	0-1	2-3	1-1	21	40	39	2012
Northwestern 	5.3	0-0	0-2	3-1	37	78	41	2012
Georgia Tech 	4.9	0-2	1-2	1-0	20	57	45	2012
Mississippi St 	4.7	0-2	0-1	0-2	24	50	37	2012
Fresno St 	4.7	0-1	0-0	0-1	29	82	29	2012
West Virginia 	4.6	0-3	2-1	0-1	15	51	32	2012
Tulsa 	4.5	0-0	0-0	2-0	32	52	46	2012
Missouri 	4.3	0-4	1-1	1-1	14	45	44	2012
Iowa St 	4.3	0-3	2-1	0-1	26	74	36	2012
Syracuse 	3.6	0-0	0-1	0-2	45	83	54	2012
Arizona 	3.2	1-1	1-3	0-1	24	73	42	2012
Louisiana Tech 	3.1	0-1	0-0	0-1	29	59	48	2012
Louisville 	2.4	1-0	0-0	2-0	42	65	58	2012
Pittsburgh 	2.3	0-1	0-0	0-2	39	96	47	2012
Virginia Tech 	2.3	0-1	0-1	1-2	26	52	52	2012
Utah 	2.1	0-0	1-3	0-2	21	52	50	2012
Arkansas St 	2.1	0-1	0-1	0-0	49	94	49	2012
Tennessee 	2.1	0-3	0-1	0-2	26	55	51	2012
Rutgers 	1.9	0-0	0-0	1-0	32	57	53	2012
San Jose St 	1.7	0-0	1-1	0-1	53	114	55	2012
Miami 	1.2	0-3	0-0	1-1	40	68	57	2012
Washington 	1.1	0-1	2-2	0-1	51	70	56	2012
Arkansas 	-0.3	0-2	0-2	0-2	10	77	60	2012
SMU 	-0.6	0-1	0-2	0-1	59	97	68	2012
San Diego St 	-1.3	0-0	0-1	1-0	59	99	59	2012
NC State 	-1.5	1-0	0-1	0-2	54	71	62	2012
Kent St 	-2.1	0-0	0-0	0-1	63	109	64	2012
Louisiana 	-2.1	0-2	0-0	0-0	63	102	63	2012
Iowa 	-3.1	0-0	0-2	2-2	38	68	66	2012
UL Monroe 	-3.2	0-0	0-1	0-0	47	101	61	2012
Purdue 	-3.9	0-2	0-3	0-1	25	71	65	2012
Nevada 	-4.3	0-0	0-0	0-1	43	73	70	2012
Toledo 	-4.4	0-0	0-0	1-2	55	79	67	2012
California 	-4.5	0-1	0-5	1-0	42	73	71	2012
Ball St 	-4.5	0-0	0-1	0-2	67	97	69	2012
Auburn 	-4.5	0-3	0-2	0-3	34	75	73	2012
Bowling Green 	-5	0-1	0-0	0-0	59	89	74	2012
S Florida 	-5.5	0-1	0-0	0-1	27	76	76	2012
W Kentucky 	-5.5	0-1	0-0	0-0	52	99	72	2012
UConn 	-5.8	0-0	0-0	0-1	32	85	77	2012
Minnesota 	-5.8	0-0	0-3	0-3	75	97	79	2012
Ohio 	-6.1	0-0	0-0	1-0	44	85	83	2012
Duke 	-6.3	0-1	0-2	1-2	62	87	78	2012
Navy 	-6.7	0-1	0-1	0-1	58	102	75	2012
Rice 	-7.4	0-0	0-0	0-1	81	113	84	2012
Troy 	-7.6	0-0	0-0	0-1	74	108	80	2012
Virginia 	-8	0-0	0-1	1-2	75	101	81	2012
Indiana 	-8.6	0-0	0-2	0-3	73	107	82	2012
Boston College 	-8.7	0-2	0-1	0-2	49	92	85	2012
Temple 	-8.8	0-0	0-0	0-2	52	94	87	2012
Maryland 	-8.9	0-1	0-1	0-2	81	110	86	2012
E Carolina 	-8.9	0-0	0-1	0-2	78	101	88	2012
Houston 	-8.9	0-0	0-0	0-1	22	95	89	2012
Marshall 	-10	0-0	0-0	0-1	78	105	94	2012
Kentucky 	-10.1	0-2	0-1	0-2	64	94	91	2012
W Michigan 	-10.4	0-0	0-0	0-1	70	96	95	2012
Middle Tenn 	-10.5	0-0	0-0	1-1	81	121	93	2012
Kansas 	-10.6	0-3	0-3	0-2	81	103	92	2012
Washington St 	-11.1	0-1	0-4	0-1	89	105	96	2012
N Texas 	-11.5	0-1	0-1	0-0	79	104	97	2012
Air Force 	-11.6	0-0	0-1	0-0	68	97	90	2012
UTEP 	-11.7	0-1	0-1	0-2	80	101	99	2012
Florida Intl 	-11.7	0-0	0-0	0-1	72	106	98	2012
Wake Forest 	-13.2	0-2	0-1	1-1	77	101	100	2012
Illinois 	-13.3	0-0	0-4	0-2	37	101	101	2012
C Michigan 	-13.6	0-0	0-0	0-2	90	110	103	2012
Wyoming 	-14.1	0-0	0-1	0-1	87	111	102	2012
Texas St 	-14.8	0-0	0-0	0-2	57	116	105	2012
UTSA 	-14.8	0-0	0-0	0-1	58	115	106	2012
Florida Atlantic 	-15.1	0-2	0-0	0-0	102	121	104	2012
Buffalo 	-15.2	0-1	0-0	0-1	98	112	107	2012
New Mexico 	-15.9	0-0	0-1	0-2	96	124	108	2012
Army 	-16.5	0-0	0-0	0-1	71	114	109	2012
Miami OH 	-16.9	0-0	0-1	0-2	83	113	111	2012
Colorado St 	-17.1	0-0	0-0	0-2	101	119	110	2012
Memphis 	-17.1	0-0	0-0	0-1	111	124	112	2012
UAB 	-17.3	0-0	0-2	0-1	99	118	113	2012
Southern Miss 	-18.1	0-0	0-1	0-2	38	115	114	2012
UNLV 	-19.1	0-0	0-0	0-2	103	120	115	2012
S Alabama 	-19.6	0-0	0-0	0-1	55	117	116	2012
Akron 	-19.9	0-0	0-0	0-2	109	124	119	2012
E Michigan 	-20	0-0	0-0	0-2	96	118	118	2012
Hawai'i 	-20.2	0-0	0-2	0-1	84	120	117	2012
Tulane 	-22.1	0-0	0-0	0-1	114	124	120	2012
Colorado 	-24.2	0-1	0-3	0-1	102	122	121	2012
New Mexico St 	-28.1	0-0	0-1	0-1	112	123	123	2012
UMass 	-30	0-0	0-1	0-2	56	124	124	2012
Florida St 	32.8	1-0	1-0	1-0	1	25	1	2013
Oregon 	26.5	0-1	2-1	3-0	1	4	4	2013
Alabama 	25.9	0-1	2-1	2-0	1	4	2	2013
Baylor 	25	0-1	2-0	2-1	1	30	3	2013
Stanford 	20.9	3-0	2-2	2-1	5	15	5	2013
Oklahoma St 	19.9	1-1	1-1	3-0	3	20	8	2013
Ohio St 	19.9	0-0	1-2	2-0	5	21	6	2013
Arizona St 	19	0-2	5-0	2-2	5	19	7	2013
Auburn 	18.6	2-1	2-1	2-0	9	42	10	2013
Missouri 	18.1	1-1	2-1	1-0	9	33	11	2013
South Carolina 	17.3	1-0	2-1	3-0	6	22	15	2013
Wisconsin 	17.1	0-2	1-1	1-0	6	15	9	2013
Washington 	17	0-3	2-1	2-0	8	37	13	2013
UCLA 	16.9	0-3	3-0	1-0	7	33	16	2013
Clemson 	16.8	1-1	1-1	1-0	7	25	12	2013
LSU 	16	1-1	1-1	2-1	5	16	14	2013
Oklahoma 	15.5	2-1	1-0	2-1	5	27	19	2013
Texas A&M 	15	0-3	0-1	2-0	3	18	17	2013
Georgia 	13.6	0-2	2-1	1-0	9	23	18	2013
Michigan St 	13.2	2-0	0-0	2-1	19	54	20	2013
USC 	13.1	1-1	1-1	3-1	18	37	21	2013
Louisville 	12.6	0-0	0-0	1-1	9	47	23	2013
Kansas St 	11.1	0-2	0-1	2-1	18	51	27	2013
Arizona 	11	1-1	0-3	1-0	19	41	26	2013
BYU 	10.7	0-0	0-2	4-2	15	36	22	2013
Mississippi 	10.4	0-3	1-1	2-1	21	39	28	2013
Georgia Tech 	10.3	0-0	0-3	1-2	10	34	24	2013
Texas 	10.1	0-3	2-1	1-1	8	41	25	2013
